record_id,relative_path,folder_date,file_name,file_type,created_at,modified_at,fund_name_raw,fund_name_normalized,artifact_type_observed,work_observed,work_inferred,inference_basis,confidence,fund_match_status,fund_canonical_name,e2e_candidate,review_required,notes
FWO-0001,0724/##합본_디토 크레이버 케이뷰티 투자조합_고유번호증 신청 접수증.pdf,0724,##합본_디토 크레이버 케이뷰티 투자조합_고유번호증 신청 접수증.pdf,pdf (application/pdf),2026-07-24T06:43:41.359Z,2026-07-24T06:43:01.864Z,디토 크레이버 케이뷰티 투자조합,디토 크레이버 케이뷰티 투자조합,RECEIPT,고유번호증 신청 접수증,기관 접수 완료 가능성,파일명·상대경로 메타데이터,CONFIRMED,NOT_FOUND,,E2E-03 고유번호증 신규 신청,YES,FUND 마스터 일치 없음
FWO-0002,0724/##합본_디토 크레이버 케이뷰티 투자조합_고유번호증 신청서류.pdf,0724,##합본_디토 크레이버 케이뷰티 투자조합_고유번호증 신청서류.pdf,pdf (application/pdf),2026-07-24T01:27:31.313Z,2026-07-24T01:26:53.612Z,디토 크레이버 케이뷰티 투자조합,디토 크레이버 케이뷰티 투자조합,SUBMISSION_PACKAGE,고유번호증 신청서류,신규 신청 준비·제출 가능성,파일명·상대경로 메타데이터,CONFIRMED,NOT_FOUND,,E2E-03 고유번호증 신규 신청,YES,FUND 마스터 일치 없음
FWO-0003,0724/##합본_아타카마-벤처스투자조합13호_계좌개설 신청서류.pdf,0724,##합본_아타카마-벤처스투자조합13호_계좌개설 신청서류.pdf,pdf (application/pdf),2026-07-24T01:27:31.208Z,2026-07-24T01:26:17.250Z,아타카마-벤처스투자조합13호,아타카마-벤처스투자조합13호,SUBMISSION_PACKAGE,계좌개설 신청·제출서류,계좌개설 준비·신청 가능성,파일명·상대경로 메타데이터,CONFIRMED,NOT_FOUND,,계좌개설 준비·신청,YES,FUND 마스터 일치 없음
FWO-0004,0723/아타카마-벤처스투자조합13호_보안카드.pdf,0723,아타카마-벤처스투자조합13호_보안카드.pdf,pdf (application/pdf),2026-07-23T05:46:27.015Z,2026-07-23T05:46:12.854Z,아타카마-벤처스투자조합13호,아타카마-벤처스투자조합13호,SECURITY_CARD,보안카드,보안카드 발급·수령 가능성,파일명·상대경로 메타데이터,CONFIRMED,NOT_FOUND,,보안카드 발급·수령,YES,FUND 마스터 일치 없음
FWO-0005,0722/#이베스트 스마트 컨텐츠 신기술조합_고유번호증 폐업 신고 신청서류.pdf,0722,#이베스트 스마트 컨텐츠 신기술조합_고유번호증 폐업 신고 신청서류.pdf,pdf (application/pdf),2026-07-22T05:04:39.741Z,2026-07-22T07:24:59.717Z,이베스트 스마트 컨텐츠 신기술조합,이베스트 스마트 컨텐츠 신기술조합,SUBMISSION_PACKAGE,고유번호증 폐업·청산 산출물,폐업 신고 준비·제출 가능성,파일명·상대경로 메타데이터,CONFIRMED,EXACT_1,이베스트 스마트 컨텐츠 신기술조합,고유번호증 폐업·청산,NO,
FWO-0006,0722/#이베스트 시노 신기술조합 제일호_금융소득 지급명세 신고 신청서류.pdf,0722,#이베스트 시노 신기술조합 제일호_금융소득 지급명세 신고 신청서류.pdf,pdf (application/pdf),2026-07-22T05:03:45.011Z,2026-07-22T07:24:47.355Z,이베스트 시노 신기술조합 제일호,이베스트 시노 신기술조합 제일호,SUBMISSION_PACKAGE,금융소득 지급명세 신고 산출물,세무서 기타 업무 가능성,파일명·상대경로 메타데이터,CONFIRMED,EXACT_1,이베스트 시노 신기술조합 제일호,세무서 기타 업무,NO,
FWO-0007,0722/#이베스트 스마트 컨텐츠 신기술조합_금융소득 지급명세 신고 신청서류.pdf,0722,#이베스트 스마트 컨텐츠 신기술조합_금융소득 지급명세 신고 신청서류.pdf,pdf (application/pdf),2026-07-22T05:04:57.349Z,2026-07-22T07:24:42.658Z,이베스트 스마트 컨텐츠 신기술조합,이베스트 스마트 컨텐츠 신기술조합,SUBMISSION_PACKAGE,금융소득 지급명세 신고 산출물,세무서 기타 업무 가능성,파일명·상대경로 메타데이터,CONFIRMED,EXACT_1,이베스트 스마트 컨텐츠 신기술조합,세무서 기타 업무,NO,
FWO-0008,0722/#이베스트 시노 신기술조합 제일호_고유번호증 폐업 신고 신청서류.pdf,0722,#이베스트 시노 신기술조합 제일호_고유번호증 폐업 신고 신청서류.pdf,pdf (application/pdf),2026-07-22T05:03:18.304Z,2026-07-22T07:24:34.408Z,이베스트 시노 신기술조합 제일호,이베스트 시노 신기술조합 제일호,SUBMISSION_PACKAGE,고유번호증 폐업·청산 산출물,폐업 신고 준비·제출 가능성,파일명·상대경로 메타데이터,CONFIRMED,EXACT_1,이베스트 시노 신기술조합 제일호,고유번호증 폐업·청산,NO,
FWO-0009,0722/##이베스트 시노 신기술조합 제일호_금융소득 지급명세 신고 접수증.pdf,0722,##이베스트 시노 신기술조합 제일호_금융소득 지급명세 신고 접수증.pdf,pdf (application/pdf),2026-07-22T07:21:59.397Z,2026-07-22T07:21:53.884Z,이베스트 시노 신기술조합 제일호,이베스트 시노 신기술조합 제일호,RECEIPT,금융소득 지급명세 신고 산출물,세무서 기타 업무 가능성,파일명·상대경로 메타데이터,CONFIRMED,EXACT_1,이베스트 시노 신기술조합 제일호,세무서 기타 업무,NO,
FWO-0010,0722/#이베스트 시노 신기술조합 제일호_고유번호증 폐업 접수증.pdf,0722,#이베스트 시노 신기술조합 제일호_고유번호증 폐업 접수증.pdf,pdf (application/pdf),2026-07-22T07:21:59.349Z,2026-07-22T07:21:42.055Z,이베스트 시노 신기술조합 제일호,이베스트 시노 신기술조합 제일호,RECEIPT,고유번호증 폐업·청산 산출물,폐업 신고 접수 가능성,파일명·상대경로 메타데이터,CONFIRMED,EXACT_1,이베스트 시노 신기술조합 제일호,고유번호증 폐업·청산,NO,
